,content
227,'@condencesmilk HAHAHAHA lg ga bucin nih mknya ngjak main lg sobi pinjol guah'
228,'@SelviInggi Gapernah ya :) 
229,'@AlbaniSayf @Ridanulantary1 @VIVAcoid Dari pada Lo
230,'@aqyeji @callmequeeennn @txtdrpemerintah Pinjol tu apa sih kak?'
231,'ada yang pernah dapat sms pinjol spt ini ga? https://t.co/wIldGekvqY'
232,'@steffifauziah Sama mba
233,'@ketjupmaniss @chrysankiku @subtanyarl kontakin temen2 dan sodaranya. alaa2 pinjol lah ya wkakaka'
234,'@subtanyarl Klo gw si dr dulu selalu sebar cv doang lewat email
235,'@faza_aul Dari akses pinjol biasanya ini'
236,'@bjibngamatahari @collegemenfess iya sist
237,'Data org indo kok kayanya mudah bgt diretas
238,'@ovo_id @ojkindonesia kenapa kalau mau tukar email saja harus disertai foto selfie dgn KTP. bukannya itu sangat berbahaya dan rawan disalahgunakan. Harusnya cukup dgn foto KTP &amp; no HP yg valid.OVO kan bukan platform pinjol.kita harus top up dulu. Tlng dijelaskan! No tiket 8390284'
239,'@AmrinAruan @Ridanulantary1 @VIVAcoid ketawan nih!! lu clien pinjol... wkwkwkw\n\nhutang bangga'
240,'@jonathanend Pertanyaan menjebak
241,'Udah gilaaaaaaaaaa kasian bgt tmn tmn ak kemaren di grup kost ada yg neror dari pinjol suruh bayar utangnya si pengelolanya yaallah
242,'Berhubung biaya pengobatan mahal
243,'@anaknyasabar @txtdrpemerintah bener banget. aku kaget ada sms yg nawari pinjol
244,'@LapakIgoen Coba pinjol ngab'
245,"'@aqyeji @callmequeeennn @txtdrpemerintah iya yg parah tu dibuat pinjol ""pinjaman online"" kesel bgt dispam mulu padal bukan kita yg pinjem'"
246,'@callmequeeennn @txtdrpemerintah Ada
247,'user experience! \nyang punya info app Pinjol dengan UI kece
248,'@Muhamma11761378 🤣🤣 pinjol??'
249,'@VeritasArdentur Bukannya sistem pinjol gitu?'
250,'panasbgt kaya ditelpon pinjol'
251,'@Libuurr Kan foto copy
252,'@Lucky_HS Lhaa busyet
253,'@azntbh Kejaman pinjol bukannya? 🤭'
254,'Otw pinjol 3.8juta https://t.co/YUakud2JH2'
255,'@oky_bon_amarull @akulakuID @ojkindonesia @AkulakuCare @TMCPoldaMetro @YLKI_ID @poldakalteng Lah knpa baru lapor ? Gue jg disni menduga data kita diperjual belikan
256,'@undipmenfess jgn nyari di pinjol deh
257,'VALID!
258,'SDH di jual ke pemilik pinjol https://t.co/IUrjMFupZE'
259,'risih bgt aku dan teman2 sekontaknya di smsin sm pinjol gitu ih jaba beda2 app. orglain yg pinjem aku yg kena sms juga ni apa bgt ga penting😼'
260,'@utuntauk utang ka tetangga.. kesaudara
261,'@sisimissu @discountfess Kyk akulaku. Pinjol jg'
262,'Pinjol ilegal yang tidak manusiawi
263,'Pinjol ilegal yang tidak manusiawi
264,'Miara chihuahua &amp; pom banyak keuntungannya:\n-nda perlu bingung nyekolahin\n-nda perlu bingung kasi makanan\n-tida terlilit hutang pinjol online'
265,'@collegemenfess Kenapa ga coba aplikasi pinjol? Soalnya Sekarang hampir semuanya ngerasain susah sih
266,'kalo kek gini kerjaan kominfo ga si. yg berhubungan sama porno aja buru buru diatasi. yg kek gini kejadian berulang ulang. belom lg sms sms pinjol. hadeuh https://t.co/aZ84NXnOUO'
267,'@ksalyaa Buat nyari pinjol Sal?'
268,'@irzam0001 Nda pernah ka ajukan pinjol kawe :('
269,'Banjir SMS dari PINJOL ...\nParah...'
270,'Terkait pinjaman mirip sama resesi 2008 di us pas kredit properti macet
271,'@aduanBRTI saya minta tolong untuk melacak dan proses nomor ini 081957024500
272,'@Ardimnsyr Nasib data KTP dibagi k pinjol :('
273,'@taraafz @jawafess pinjol i opo mbak?'
274,'Tempat sembunyi gue dari kejaran pinjol. https://t.co/7XHl2bBV3A'
275,'@aisiasahablog Kalau rindu notif hp jadi rame lagi
276,'@midiahn utang pinjol kakots 😊'
277,'@faaz098 Link pinjol mau?'
278,'@Berkarya_Info Kmrin sy pernah liat judul berita kl salah satu kementerian bole membuka data masyarakat kpd pinjol \nHikss 🙈🙈🙈🙏'
279,'@anggicau Bank 20 tahun lagi mungkin udah punah
280,'Masih jauh dr apapun
281,'@iceprincevernon Buka jasa pinjol gak u?'
282,'Saya penasaran
283,'Singkat kata ini obrolan kami.\n\nEnak bener ya utang ke pinjol
284,'Dari Mas Alun saya mendapat foto KTP dan slip gaji fisik\n\nDisitu saya heran. Pinjol kok ada slip gaji segala. O
285,'@Txtdariseragam Nyogok masuk taruna pake pinjol apa koperasi unit desa mas?'
